"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"94";"B31571011";"15-A-152-00013799";"MULTISERVICIO INMEDIATO SL";"RAPID";"PQ ERRENIEGA 19";"ZIZUR MAYOR/ZIZUR NAGUSIA";"Zizur Mayor/Zizur Nagusia";"Navarra";"31180";"948186948";;;;"15.2";"Fabricación de calzado";;
"95";"B26271353";"15-A-152-00052135";"CALZADOS PILMER, S.L.";"CALZADOS PILMER, S.L.";"PG. LAS LABRADAS CL. CANTABRIA, 147";"TUDELA";"Tudela";"Navarra";"31500";"630273190";;;;"15.2";"Fabricación de calzado";;
"96";"B31391733";"15-A-152-00011944";"FABRICA DE CALZADOS TOMAS SL";"FABRICA DE CALZADOS TOMAS SL";"POL IND KATUARI 24";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"15.2";"Fabricación de calzado";;
"97";"B31471204";"15-A-152-00009723";"AZUL Y VERDE CALZADOS SL";"AZUL Y VERDE, CALZADOS S.L.";"SARASATE";"CASCANTE";"Cascante";"Navarra";"31520";;;;;"15.2";"Fabricación de calzado";;
"98";"B31762669";"15-A-161-00053549";"MADERAS ARBAYUN SL";"MADERAS ARBAYUN S.L.";"PG EL PRADO  ";"LUMBIER";"Lumbier";"Navarra";"31440";"669758309";;;;"16.1";"Aserrado y cepillado de la madera";;
"99";"B31007263";"15-A-161-00052777";"GIL HERMANOS SL";"GIL HERMANOS S.L.";"PARAJE MONTES S/N ";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"948303268";;;;"16.1";"Aserrado y cepillado de la madera";;
"100";"A31567787";"15-A-161-00013507";"MADERAS LANDABEN, S.A.L.";"MADERAS LANDABEN, S.A.L.";"POL. LANDABEN, CALLE A, S/N";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"186273";;;;"16.1";"Aserrado y cepillado de la madera";;
"101";"B31602865";"15-A-161-00013528";"TRATAMIENTOS DE LA MADERA AL VACIO SL";"TRATAMIENTO MADERA VACIO, S.L.";"POL.TALLUNTXE-C.ZARAGOZA,NV 13";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"0";;;;"16.1";"Aserrado y cepillado de la madera";;
"102";"18198903S";"15-A-161-00014345";"ROS CARO VICENTE";"ROS CARO, VICENTE";"CL LAS CRUCES S/N";"CIRAUQUI/ZIRAUKI";"Cirauqui/Zirauki";"Navarra";"31131";"948342143";;;;"16.1";"Aserrado y cepillado de la madera";;
"103";"B31231525";"15-A-161-00012174";"ALMACENES LABARGA SL";"ALMACENES LABARGA, S.L.";"DELANTERAS ALTAS";"TUDELA";"Tudela";"Navarra";"31500";;;;;"16.1";"Aserrado y cepillado de la madera";;
"104";"B31253602";"15-A-161-00011214";"BARNIZADOS MAURI SL";"BARNIZADOS MAURI SL";"S MARTIN SN";"CIZUR";"Astráin";"Navarra";"31190";;;;;"16.1";"Aserrado y cepillado de la madera";;
"105";"A31645062";"15-A-162-00013985";"TABSAL COMPOSITES DE MADERA SA";"TABSAL";"CERRADOA S/N";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31840";"948507030";;;;"16.21";"Fabricación de chapas y tableros de madera";;
"106";"23744089Q";"15-A-162-00012807";"CARMONA RODRIGUEZ AMADOR";"CARMONA RODRIGUEZ, AMADOR";"PG IND CL G  P731";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948247127";;;;"16.21";"Fabricación de chapas y tableros de madera";;
"107";"B31699200";"15-A-162-00051237";"VILLAFRANCA OLIVER CHAPAS SL";"VILLAFRANCA OLIVER CHAPAS, S.L";"BELGICA, 11";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Imárcoain";"Navarra";"31119";"948316013";"villafrancaoliver@villafrancaoliver.com";"948316155";;"16.21";"Fabricación de chapas y tableros de madera";;
"108";"B31793458";"15-A-162-00051206";"SISTERCOCINA SL";"SISTERCOCINA, S.L";"PG. IND. EZCABARTE C/B  4";"EZCABARTE";"Arre";"Navarra";"31194";"948361135";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"109";"15812728K";"15-A-162-00050430";"BUSTO AZCUNE JOSE MARIA AURELIO";"BUSTO AZCUNE, JOSE MARIA";"PG MUTILVA CL K  37";"ARANGUREN";"Aranguren";"Navarra";"31192";"948248379";;"948238246";;"16.22";"Fabricación de suelos de madera ensamblados";;
"110";"E31031339";"15-A-162-00002861";"ARAMENDIA SOLA MIGUEL Y VALENCIA ZULAICA JOSE LUIS";"CARPINTERIA VALENCIA";"AV. BEIRE, S/N";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";"31390";"948740245";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"111";"E31728439";"15-A-162-00052127";"URDANOZ ALDASORO VICENTE Y URDANOZ MELADO FERMIN JAVIER";"PASTOR YERRO JAIME, URDANOZ ALDASORO VICENTE, URDANOZ MELADO";"PG. IND. EZCABARTE NAVE 33";"EZCABARTE";"Arre";"Navarra";"31194";"679243143";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"112";"B31666449";"15-A-162-00050256";"CARPINTERIA ZURGIÑAK AZKONA SL";"CARPINTERIA ZURGUIÑAK AZKONA S.L.";"PG ISASIA 3";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948468450";;"948468450";;"16.22";"Fabricación de suelos de madera ensamblados";;
"113";"72418301H";"15-A-162-00009367";"UDARTE GARAIBURU LUIS MARIA";"BARANDILLAS L.U.B.";"CM CANTERAS  ";"VALLE DE YERRI/DEIERRI";"Bearin";"Navarra";"31179";;;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"114";"15861617N";"15-A-162-00004812";"BERASAIN VILLANUEVA FIDEL";"BERASAIN VILLANUEVA, FIDEL";"SAN ESTEBAN  3-BAJO";"ULTZAMA";"Alkotz";"Navarra";"31797";"948305270";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"115";"E31722879";"15-A-162-00004784";"MATEO SAMANES JORGE Y SAMANES LASHERAS RICAR- DO";"CARPINTERIA VIRUTAS";"EL FUERTE  4";"ARGUEDAS";"Arguedas";"Navarra";"31513";"659449865";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"116";"B31741002";"15-A-162-00050388";"CARPINTERIA ECHEVERRIA SL";"CARPINTERIA ECHEVERRIA S.L.";"CASA LEKUONA  S/N";"ITUREN";"Ituren";"Navarra";"31745";"948450327";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"117";"B31734627";"15-A-162-00050392";"ZURA GURA SL";"ZURA-GURA S.L.";"PG UTZUBAR-TXIKI ";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";;;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"118";"15800112D";"15-A-162-00014514";"ECHANDI JIMENEZ FRANCISCO";"CARPINTERIA JAVIER ECHANDI";"ZOLINA 18";"ARANGUREN";"Tajonar/Taxoare";"Navarra";"31192";"686913536";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"119";"E31501034";"15-A-162-00011733";"IRIBARREN SANZBERRO ANA ISABEL ANGEL MARIA JO SE LUIS E IRIBARREN SORIA TEODORO";"CARPINTERIA IRIBARREN";"ANSOLOKUETA 28";"ETXALAR";"Etxalar";"Navarra";"31760";"948635071";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"120";"18210397D";"15-A-162-00002448";"ZUDAIRE HUALDE JOSE JAVIER";"ZUDAIRE HUALDE, JOSE JAVIER";"MAYOR 10-BAJOS";"ABERIN";"Muniáin de la Solana ";"Navarra";"31264";"948552983";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"121";"A31258882";"15-A-162-00052188";"MADERAS Y CHAPAS DE NAVARRA SA";"MADERAS Y CHAPAS DE NAVARRA, S.A.";"CR. PAMPLONA-ZARAGOZA KM. 18 ";"TIEBAS-MURUARTE DE RETA";"Muruarte De Reta";"Navarra";"31398";"948360007";;"948360081";;"16.22";"Fabricación de suelos de madera ensamblados";;
"122";"52444312B";"15-A-162-00052020";"SANGUESA PEREZ DAVID";"CES";"PG. LAS LABRADAS, CL. ESTELLA 7";"TUDELA";"Tudela";"Navarra";"31500";"679597189";;;;"16.22";"Fabricación de suelos de madera ensamblados";;
"123";"A31173750";"15-A-162-00010089";"CARPINTERIA ARTICA SAL";"CARPINTERIA ARTICA SAL";"POL INDUSTRIAL";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"124";"E31324940";"15-A-162-00011599";"FRANCO ESTEBAN EDUARDO Y JOSE MARIA";"FRANCO ESTEBAN, EDUARDO Y JOSE MARIA";"RUA 40";"TUDELA";"Tudela";"Navarra";"31500";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"125";"B31349251";"15-A-162-00010081";"TECNICAS DEL MUEBLE ERRA SL";"EDERRA GOÑI, JOAQUIN Y FERMIN";"P. LANDABEN C/E";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"126";"15796022J";"15-A-162-00012384";"PEREZ JIMENEZ JOSE MARIA";"PEREZ JIMENEZ JOSE MARIA";"POL.IND. MOREA SUR 3";"GALAR";"Arlegui";"Navarra";"31191";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"127";"B71253934";"15-A-162-00050361";"HABITAT IRATI SL";"CASAS DEL IRATI";"Industrial Iciz 1 nave 7";"GALLUÉS/GALOZE";"Gallués/Galoze";"Navarra";"31451";"948470202";"info@casasdelirati.com";"948470202";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"128";"B71002638";"15-A-162-00053005";"CARPINTERIA EBANISTERIA EBAT SL";"CARPINTERIA EBANISTERIA EBAT S.L.";"PG MUTILVA BAJA C/B 17";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948240298";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"129";"E31177785";"15-A-162-00010071";"BERRADE BURGUI FRANCISCO J Y MAYA AYERRA JOSE";"JOSE MAYA Y FCO JAVIER BERRADE";"NTRA.SRA.UJUE";"TAFALLA";"Tafalla";"Navarra";"31300";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"130";"B31073075";"15-A-162-00007283";"CARPINTERIA Y EBANISTERIA ORCOYEN SL";"CARPINTERIA ORCOYEN SL";"CAMINO LA VENTA 7";"CENDEA DE OLZA/OLTZA ZENDEA";"Arazuri";"Navarra";"31170";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"131";"B31329477";"15-A-162-00007043";"EBANISTERIA MONREAL E HIJOS SL";"CARPINTERIA  A. MONREAL C.I.A. E HIJOS";"GUIPUZCOA, 3";"CORELLA";"Corella";"Navarra";"31591";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"132";"B31093420";"15-A-162-00008227";"GUELBENZU BANDRES, JESUS / ESPATOLERO VICENT";"GUELBENZU BANDRES, JESUS / ESPATOLERO VICENT";"TERRENO DE LAS LANDAS";"SANGÜESA/ZANGOZA";"Gabarderal";"Navarra";"31409";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"133";"B31076656";"15-A-162-00005191";"ESCALERAS ARIZONA S L";"ESCALERAS ARIZONA, S.L.";"LA NAVA S/N";"BEIRE";"Beire";"Navarra";"31393";"948740386";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"134";"B31138142";"15-A-162-00011082";"MANUFACTURAS NICOLAS SL";"MANUFACTURAS NICOLAS SL";"CR PAMPLONA 4";"VIANA";"Viana";"Navarra";"31230";"948645031";"sara@manufacturasnicolas.com";"948446216";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"135";"B31943038";"15-A-162-00053065";"ETXEBERRIA ARQUITECTURA DE MADERA SL";"ETXEBERRIA ARQUITECTURA DE MADERA S.L.";"PG IND LA FUENTE 2";"BERRIOPLANO";"Oteiza de Berrioplano";"Navarra";"31195";"948543370";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"136";"B31127806";"15-A-162-00012777";"CARPINTERIA ORTEGA Y NAVAS SL";"CARPINTERIA ORTEGA Y NAVAS SL";"PG INDUSTRIAL MUNICIPAL  EL ROMERAL TRANSVERSAL 1";"TUDELA";"Tudela";"Navarra";"31500";"948825256";"info@ebanisterianavas.com";;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"137";"B31130610";"15-A-162-00003697";"MUEBLES ALFONSO ARNEDO SL";"MUEBLES ALFONSO ARNEDO SL";"GUIPUZCOA 4";"CORELLA";"Corella";"Navarra";"31591";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"138";"E31400971";"15-A-162-00012385";"JARAUTA MARTINEZ JESUS Y PEDRO";"JARAUTA MARTINEZ PEDRO Y JESUS";"MAYOR, 31";"TUDELA";"Tudela";"Navarra";"31500";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"139";"E31210925";"15-A-162-00010711";"MORIONES LECUONA BLANCA Y ZUGASTI MORIONES JD Y S";"ESCALERAS NAVARRA, S.L.";"PG. IND. COMARCA 2, C/A, 29";"GALAR";"Barbatáin";"Navarra";"31191";"948325374";;"948321667";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"140";"B31200009";"15-A-162-00010856";"CARPINTERIA GARGANT SL";"CARPINTERIA GARGANT SL";"POLIGONO INDUSTRIAL";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"141";"B31040082";"15-A-162-00006452";"ALEMAN Y VINIEGRA SL";"ALEMAN EPIFANIO Y VINIEGRA JOSE LUIS";"CRTA ARTICA";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"142";"15838825J";"15-A-162-00004185";"MARTINEZ GORENA JOSE JAVIER";"CARPINTERIA MARTINEZ";"CARRETERA SN";"ANCÍN/ANTZIN";"Ancín";"Navarra";"31281";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"143";"52443252D";"15-A-162-00004568";"JIMENEZ CIZAURRE FELIX";"CARPINTERIA FELIX JIMENEZ";"CL MAYOR 32-A";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867521";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"144";"B31027972";"15-A-162-00006343";"PAVIMENTOS PERALTA HERMANOS SL";"PAVIMENTOS HERMANOS PERALTA SL";"CA DE SAN JUAN SN";"CORELLA";"Corella";"Navarra";"31591";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"145";"E31285620";"15-A-162-00010909";"PASCUAL LARRION ANGEL RUPERTO Y DONATO";"PASCUAL LARRION, DONATO";"FRAY DIEGO 38 1 B";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"146";"E31624604";"15-A-162-00006484";"REGUERA ARBONIES ANTONIO Y REGUERA PLAZA MAITANE";"CARPINTERIA Y ALBAÑILERIA IRUÑA";"PG INDUSTRIAL MUTILVA-TAJONAR CL C 13";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948292069";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"147";"E31231061";"15-A-162-00011626";"NIETO TORRECILLA JUAN Y JULIAN";"NIETO TORRECILLA, JUAN";"LABORIZ 10";"OTEIZA";"Oteiza";"Navarra";"31250";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"148";"B31060494";"15-A-162-00004814";"PAVIMENTOS BIDASOA SL";"PAVIMENTOS BIDASOA SL";"X";"EZCABARTE";"Adériz";"Navarra";"31194";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"149";"B31848534";"15-A-162-00053200";"SISDEAR SL";"SISDEAR S.L.";"PG IND NOAIN-ESQUIROZC/N  25";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948303130";;"948303131";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"150";"33422988D";"15-A-162-00013603";"OLLOBARREN ERDOCIAIN ROBERTO";"OLLOBARREN ERDICIAIN, ROBERTO";"POL. IND. C/A, NAVE 79";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"254126";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"151";"E31557036";"15-A-162-00011195";"JIMENO SANZ DE GALDEANO CARLOS JAVIER Y SANZ AMATRIAIN JOSE MANUEL";"JIMENO SANZ DE GALDEANO, CARLOS";"URB CIZUR 31";"CIZUR";"Astráin";"Navarra";"31190";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"152";"15772150S";"15-A-162-00013843";"ASTIBIA APECECHEA JOSE MARIA";"ZURLAN ZURGINDEGIA";"CASA GOIKO ERROTA CR LEIZA-HUICI";"LEITZA";"Leitza";"Navarra";"31880";"948510402";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"153";"E31216096";"15-A-162-00010695";"BLASCO AMATRIAIN LUIS MIGUEL Y MINA RODRIGO ANGEL";"BLASCO AMATRIAIN LUIS MIGUEL MINA RODRIGO AN";"HNOS NOAIN TRASERA";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"154";"16519728R";"15-A-162-00010687";"LEON HERNANDEZ JESUS RAMON";"LEON FERNANDEZ, JESUS RAMON";"PJ S FCO JAVIER, 3";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"155";"16014036X";"15-A-162-00004132";"PLANILLO TOMAS MANUEL";"PLANILLO TOMAS, MANUEL";"PG MOYUELA S/N";"MONTEAGUDO";"Monteagudo";"Navarra";"31522";"948816743";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"156";"E31094576";"15-A-162-00003837";"BAQUEDANO JUAN CARLOS LUIS Y GOICOECHEA DOLORES";"BAQUEDANO RIPODAS, CARLOS";"LARGA";"ZABALZA/ZABALTZA";"Arraiza ";"Navarra";"31174";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"157";"B31140171";"15-A-162-00008182";"CARPINTERIA IRATI SL";"CARPINTERIA IRATI S L";"PG IND MUTILVA BAJA CL N NAVES 3-5-7";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"158";"15759276K";"15-A-162-00053177";"ESPARZA GARCES MARIA JESUS";"PERSIANAS APER-TOC";"PG IND CORDOVILLA C/A  1 C";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31007";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"159";"E31239304";"15-A-162-00002256";"DOMINGUEZ ALLO MIGUEL A Y RUBEN";"DOMINGUEZ ALLO, JUAN JOSE";"GENERAL FRANCO SN";"CADREITA";"Cadreita";"Navarra";"31515";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"160";"E31383532";"15-A-162-00011979";"ATIENZA ALEJANDRO JIMENEZ VENANCIO Y MARTINEZ ANGE";"ATIENZA CELADA A JIMENEZ MARIN V MARTINEZ LO";"FRANCISCO ROIZ SN";"CASTEJÓN";"Castejón";"Navarra";"31590";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"161";"E31139371";"15-A-162-00009246";"PRECIADO ESPARZA JESUS Y PRECIADO OCHOA JESUS MARIA";"PRECIADOS ESPARZA JESUS";"SAN ANTON 24";"CADREITA";"Cadreita";"Navarra";"31515";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"162";"A31164494";"15-A-162-00009203";"MOLDURAS MUEBLES SALVADOR MARTINEZ SA";"MOLDURAS MUEBLES SALVADOR MARTINEZ S.A.";"CR MENDAVIA KM 10";"VIANA";"Viana";"Navarra";"31230";"948645702";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"163";"B31467558";"15-A-162-00052169";"CARPINTERIA GUREA SL";"CARPINTERIA GUREA, S.L.";"PG. EL SOTO, CL. BIDEBERRI  14";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"948303459";;"948303459";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"164";"E31608607";"15-A-162-00008410";"OTXAGABIA NOTARIO IGNACIO Y JOSE MIGUEL";"OCHAGAVIA BACAICOA ELEUTERIO";"HUALDO 29";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"165";"E31363898";"15-A-162-00011534";"PUYOL PEREZ JESUS J Y NARCISO";"PUYOL PEREZ, NARCISO";"SANTA CRUZ 18";"CARCASTILLO";"Carcastillo";"Navarra";"31310";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"166";"B31118201";"15-A-162-00008334";"INDUSTRIAS CIRAUQUI SL";"INDUSTRIAS CIRAUQUI SL";"CR DE FUNES KM 1";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"167";"B31446594";"15-A-162-00014097";"AUDELAMA SL";"AUDELAMA S.L.";"ERMITAPEA 9C";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31195";"948132637";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"168";"E31206204";"15-A-162-00010445";"PASCUAL JIMENEZ JESUS Y MIGUEL ANGEL";"PASCUAL JIMENEZ, MIGUEL ANGEL Y JESUS";"TO BADINA SN";"AZAGRA";"Azagra";"Navarra";"31560";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"169";"02680633Y";"15-A-162-00009766";"ALVAREZ FERNANDEZ ANTONIO";"ALVAREZ FERNANDEZ, ANTONIO  OTERO ORTIGOSA J";"PROVINCIAS 1";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"170";"E31628522";"15-A-162-00051313";"ALCALDE FLAMARIQUE JESUS RICARDO Y ELORZ UNZU ANGELES MARIA";"CARPINTERIA DONIBANE S.I.";"MARTIN AZPILICUETA 15";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"948253693";;"948253693";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"171";"74709509N";"15-A-162-00009065";"SANCHEZ MALDONADO JOSE";"SANCHEZ MALDONADO, FRANCISCO";"CANAL 1 1 DRCHA";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"172";"B31078983";"15-A-162-00014253";"CONSTRUCCIONES ALZATE SL";"CONSTRUCCIONES ALZATE S.L.";"PG IBARREA S/N";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948562745";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"173";"B31600778";"15-A-162-00013539";"INSTALACIONES INDUSTRIALES DE LA MADERA IZQUIERDO SL";"INS.IND. MADERA IZQUIERDO,S.L.";"CARMEN BELLIDO 56";"CORTES";"Cortes";"Navarra";"31530";"800263";;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"174";"B31197726";"15-A-162-00010437";"PUERTAS ESLAVA SL";"PUERTAS ESLAVA, SA";"PIO LOPERENA, S/N";"VILLAVA/ATARRABIA";"Villava/Atarrabia";"Navarra";"31610";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
